sample_id,submission_date,analysis_date_time,compound_1,compound_2,compound_3,compound_4,compound_5
TR_028,2018-04-27,30/6/2018 15:30,11.653379876332854,17.174057519073415,22.00342712173912,28.851496070243222,24.628158425286824
TR_029,2018-04-27,30/6/2018 15:30,11.350681235710407,16.921232476626336,22.024158482510323,20.90815377342326,24.014195530528
TR_030,2018-04-27,30/6/2018 15:30,11.167067342338633,17.210651065503146,22.06495901610965,17.37085396618425,23.315056287312288
TR_031,2018-04-27,30/6/2018 15:30,6.212351267575487,7.896878909856422,14.044098339660039,15.983347308161393,7.845317350713435
TR_032,2018-04-27,30/6/2018 15:30,6.740464211984771,7.7310222361480525,14.040946465339504,15.81416723152878,8.143248908365344
TR_033,2018-04-27,30/6/2018 15:30,6.699047392571553,7.859236240906794,13.881513103840911,15.049844134902207,8.435633384397605
TR_034,2018-04-27,30/6/2018 15:30,3.568161872468523,2.2365709676599215,4.707958695783516,3.7065339423053247,6.236669402427884
TR_035,2018-04-27,30/6/2018 15:30,3.0918111537234423,2.3480359651715927,4.7952645182087235,2.8073800915428806,6.091200622312552
TR_036,2018-04-27,30/6/2018 15:30,3.412453086749045,2.283737210564351,4.822658527561929,3.6591546617822748,6.2193973618792695
TR_037,2018-05-27,30/6/2018 15:30,17.048597539213983,14.856650026536617,26.447601140574463,26.731612040669546,21.532718276446168
TR_038,2018-05-27,30/6/2018 15:30,17.373995787312374,31.690552547278717,27.22339614412434,21.390341608482593,20.99577339773326
TR_039,2018-05-27,30/6/2018 15:30,18.218555750431648,32.12433693182824,26.343704665370996,26.350444302420403,22.262923835905344
TR_040,2018-05-27,30/6/2018 15:30,9.71359637888534,16.938071707493787,17.086148882288185,13.56542342525023,6.992688587731863
TR_041,2018-05-27,30/6/2018 15:30,9.277100061338684,15.8062999906168,17.279363285801672,15.350927050818472,7.368614921377598
TR_042,2018-05-27,30/6/2018 15:30,9.161830136363426,15.73820621045495,17.61769633752494,16.25062870857903,7.641212871300145
TR_043,2018-05-27,30/6/2018 15:30,4.65251749759075,6.840860487737373,5.837651319233173,2.9700479066579883,5.25209251456944
TR_044,2018-05-27,30/6/2018 15:30,4.375530221972819,6.3563230987229264,5.765645133516745,2.80242975591529,5.177688127890682
TR_045,2018-05-27,30/6/2018 15:30,4.603162396150787,6.0749158609061285,5.757126151803005,2.8134156447538166,5.758965799236674
TR_046,2018-06-27,30/6/2018 15:30,19.52333354038553,26.805620908516442,30.16654590493189,28.162870307704452,19.068228656914144
TR_047,2018-06-27,30/6/2018 15:30,20.440913369864774,24.074680832055463,30.38247783996566,17.859487422616244,19.62908231285872
TR_048,2018-06-27,30/6/2018 15:30,19.53738070564453,24.486828235302482,30.174634808163113,25.691297767187045,18.47899066003854
TR_049,2018-06-27,30/6/2018 15:30,11.547589769787441,13.73518055344978,19.52760575035606,17.257015325772212,6.344386627994842
TR_050,2018-06-27,30/6/2018 15:30,10.77304212057408,12.273256842399151,18.78408878412999,12.870005028780552,6.4332473820857174
TR_051,2018-06-27,30/6/2018 15:30,11.549099809338324,11.910056197772475,19.55355134297987,16.708724665678957,6.3629716577808
TR_052,2018-06-27,30/6/2018 15:30,5.535005830092991,5.102217342097028,6.304144886864422,3.3009474639388756,5.140168310816691
TR_053,2018-06-27,30/6/2018 15:30,5.403047965703328,4.39446280176735,6.408385584788316,2.6080766965145887,4.937500533229634
TR_054,2018-06-27,30/6/2018 15:30,5.413587577222679,4.253608717186221,6.440023788553075,2.997704494448262,5.122781413093172
