sample_id,submission_date,analysis_date_time,compound_1,compound_2,compound_3,compound_4,compound_5
TR_055,2018-07-27,30/9/2018 15:30,24.645362456324314,19.871317010025436,34.63884094296632,22.880545462184447,16.118798705177888
TR_056,2018-07-27,30/9/2018 15:30,25.401647830288688,15.79961256774268,35.458118024713,18.969002034698615,16.45275816462722
TR_057,2018-07-27,30/9/2018 15:30,25.03942960037627,15.620731870599418,35.367295141750205,20.020200559791125,15.839633839734713
TR_058,2018-07-27,30/9/2018 15:30,13.76205888202446,8.209721923676943,22.706246323585823,14.834068750935032,5.0067003041739255
TR_059,2018-07-27,30/9/2018 15:30,13.731663723715629,7.0590911864905115,22.9476067233841,15.641312291018743,5.0967557348869175
TR_060,2018-07-27,30/9/2018 15:30,14.215992483618948,7.4722979239143505,22.25966162742092,15.041178691867392,5.21914645801869
TR_061,2018-07-27,30/9/2018 15:30,6.880712806372469,2.7608027799546107,7.406937767692299,2.5815161787134984,3.8565620163278855
TR_062,2018-07-27,30/9/2018 15:30,6.688327469812922,3.0480418763134915,7.302571019079806,3.8174768215649855,4.106134496961349
TR_063,2018-07-27,30/9/2018 15:30,7.078220756320997,3.2060125392758536,7.421995755003456,2.469284126064845,3.7611743329018403
TR_064,2018-08-27,30/9/2018 15:30,27.37021192010964,13.923237030479099,36.76572229291015,22.497487075686937,13.621637171799248
TR_065,2018-08-27,30/9/2018 15:30,26.42756981505669,15.008578520774332,36.93313350501154,23.34830148347728,13.341102454670207
TR_066,2018-08-27,30/9/2018 15:30,26.67823389755766,14.53310175757649,37.49589241013911,23.829534765338295,13.787531493346808
TR_067,2018-08-27,30/9/2018 15:30,15.030752151665336,7.890676409864722,24.121842373499693,13.733673300971464,4.194350029331686
TR_068,2018-08-27,30/9/2018 15:30,15.141417416989384,13.18866678669102,23.8695087990506,13.230552158130356,4.716305791302698
TR_069,2018-08-27,30/9/2018 15:30,15.160100703577164,12.700544308121385,23.51945238436455,10.536012216478033,4.651958273493673
TR_070,2018-08-27,30/9/2018 15:30,7.494709544053302,5.481307751511886,7.902173680040932,3.1210415524009885,3.1748505455624607
TR_071,2018-08-27,30/9/2018 15:30,7.697985576601235,6.13768834307752,7.704141907378334,3.044669244189137,3.103540312874994
TR_072,2018-08-27,30/9/2018 15:30,7.565525398496762,6.306030449045394,8.112122369070162,3.0607191440253145,3.2410038599154958
TR_073,2018-09-27,30/9/2018 15:30,18.149136361822872,27.991054956185874,27.848286950946054,25.705343071146675,14.697418291563597
TR_074,2018-09-27,30/9/2018 15:30,18.716853843945803,9.085737754461753,28.170170197013146,21.648103377411903,12.956248994857754
TR_075,2018-09-27,30/9/2018 15:30,17.781727590541657,8.646060914998902,27.975601704760386,26.943055136028896,16.50108695869906
TR_076,2018-09-27,30/9/2018 15:30,9.315187114135446,4.935703490631739,18.200483523781788,17.462254700701592,4.613400066753781
TR_077,2018-09-27,30/9/2018 15:30,9.333425845861143,4.673630483846038,17.438438974443205,13.206719823845606,4.34263259169319
TR_078,2018-09-27,30/9/2018 15:30,9.969822943006356,4.386611859722152,18.141391371337086,15.516403846985185,5.234421114006719
TR_079,2018-09-27,30/9/2018 15:30,5.07621231112399,1.9123521018394791,6.006964400230359,2.722445859731209,3.4017250131877446
TR_080,2018-09-27,30/9/2018 15:30,4.682420757743876,2.0428906161583,5.963759665416051,2.268854978548141,3.3769573412390668
TR_081,2018-09-27,30/9/2018 15:30,4.727029815002499,2.1719968586542997,6.137602669588309,3.0545562928263634,3.749688953999023
